living_area,year_built,beds,full_bath,half_bath,property_type,list_price,list_price_per_sq_ft,sold_price,sold_price_per_sq_ft,living_area_above_ground,price_per_sq_ft,list_date,closing_date
"1,400",2005,2,2,1,Condo,"$159,900.00",$114.21,"$155,000.00",$110.71,"1,400",$110.71,3/21/2006,9/8/2006
"1,528",2008,2,2,1,Attached,"$159,900.00",$104.65,"$155,000.00",$101.44,"1,528",$101.44,6/29/2009,9/21/2009
"1,638",2003,3,2,1,Attached,"$185,000.00",$112.94,"$155,000.00",$94.63,"1,638",$94.63,12/12/2012,2/11/2013
"1,452",2009,2,2,1,Attached,"$155,000.00",$106.75,"$155,000.00",$106.75,"1,452",$106.75,4/17/2013,6/18/2013
"1,716",1875,3,1,0,Detached,"$145,000.00",$84.50,"$155,000.00",$90.33,"1,716",$90.33,3/9/2018,5/2/2018
"1,364",1995,3,2,1,Detached,"$159,000.00",$116.57,"$155,000.00",$113.64,"1,364",$113.64,10/1/2004,10/29/2004
980,1981,3,1,0,Detached,"$165,000.00",$168.37,"$155,000.00",$158.16,980,$158.16,2/29/2008,5/7/2008
"1,148",1984,2,2,0,Condo,"$144,000.00",$125.44,"$155,500.00",$135.45,"1,148",$135.45,5/2/2018,5/11/2018
"1,608",2006,3,2,1,Attached,"$165,000.00",$102.61,"$155,500.00",$96.70,"1,608",$96.70,4/12/2010,10/27/2010
"1,337",1995,3,2,1,Detached,"$159,900.00",$119.60,"$155,500.00",$116.31,"1,337",$116.31,4/5/2003,5/30/2003
"1,600",1997,3,2,1,Detached,"$159,500.00",$99.69,"$155,500.00",$97.19,"1,600",$97.19,5/20/2003,7/5/2003
"1,517",2011,2,2,1,Attached,"$160,590.00",$105.86,"$155,775.00",$102.69,"1,517",$102.69,7/16/2011,1/30/2012
"1,296",2013,2,2,1,Attached,"$155,780.00",$120.20,"$155,780.00",$120.20,"1,296",$120.20,2/7/2013,9/16/2013
"1,400",2005,2,2,1,Condo,"$159,900.00",$114.21,"$155,955.00",$111.40,"1,400",$111.40,3/21/2005,6/9/2006
"1,400",2008,2,2,1,Condo,"$154,900.00",$110.64,"$156,000.00",$111.43,"1,400",$111.43,3/22/2016,5/20/2016
"1,400",2008,2,2,1,Condo,"$160,000.00",$114.29,"$156,000.00",$111.43,"1,400",$111.43,7/22/2016,9/1/2016
"1,447",2007,2,2,1,Attached,"$159,900.00",,"$156,000.00",$107.81,"1,447",$107.81,6/19/2014,8/1/2014
"1,380",1999,2,2,1,Attached,"$158,750.00",$115.04,"$156,000.00",$113.04,"1,380",$113.04,3/17/2011,7/13/2011
"1,713",2011,3,3,1,Attached,"$158,715.00",$92.65,"$156,000.00",$91.07,"1,713",$91.07,8/9/2011,3/2/2012
"1,402",1997,3,2,1,Detached,"$159,900.00",$114.05,"$156,000.00",$111.27,"1,402",$111.27,1/28/2004,4/30/2004
"1,350",1996,3,2,1,Detached,"$155,000.00",$114.81,"$156,000.00",$115.56,"1,350",$115.56,4/23/2004,5/28/2004
"1,517",2011,2,2,1,Attached,"$158,940.00",$104.77,"$156,065.00",$102.88,"1,517",$102.88,11/15/2011,4/30/2012
"1,500",1994,3,2,1,Detached,"$158,900.00",$105.93,"$156,300.00",$104.20,"1,500",$104.20,5/7/2004,6/10/2004
"1,646",2012,3,3,1,Attached,"$156,392.00",$95.01,"$156,392.00",$95.01,"1,646",$95.01,8/2/2012,12/28/2012
"1,713",2010,3,3,1,Attached,"$162,075.00",$94.61,"$156,576.00",$91.41,"1,713",$91.40,10/22/2010,1/28/2011
"1,741",2003,2,2,2,Attached,"$159,900.00",$91.84,"$156,611.00",$89.96,"1,741",$89.95,3/21/2008,7/29/2008
"1,713",2010,3,3,1,Attached,"$159,900.00",$93.35,"$156,780.00",$91.52,"1,713",$91.52,11/8/2010,12/23/2010
"1,646",2012,3,3,1,Attached,"$156,980.00",$95.37,"$156,980.00",$95.37,"1,646",$95.37,8/17/2012,12/28/2012
800,2006,1,1,1,Condo,"$157,000.00",$196.25,"$157,000.00",$196.25,800,$196.25,8/27/2018,10/29/2018
"1,400",2005,2,2,1,Condo,"$159,900.00",$114.21,"$157,000.00",$112.14,"1,400",$112.14,9/8/2006,1/26/2007
"1,400",2010,3,2,0,Condo,"$165,000.00",$117.86,"$157,000.00",$112.14,"1,400",$112.14,7/7/2011,2/8/2012
"1,400",2005,2,2,0,Condo,"$159,900.00",$114.21,"$157,000.00",$112.14,"1,400",$112.14,7/6/2011,5/30/2012
"1,378",2008,2,2,1,Attached,"$165,360.00",$120.00,"$157,000.00",$113.93,"1,378",$113.93,2/22/2008,5/30/2008
"1,528",2008,2,2,1,Attached,"$157,000.00",$102.75,"$157,000.00",$102.75,"1,528",$102.75,2/23/2008,5/23/2008
"1,528",2008,2,2,1,Attached,"$180,662.00",$118.23,"$157,000.00",$102.75,"1,528",$102.75,2/23/2008,5/23/2008
"1,664",2010,2,2,1,Attached,"$169,990.00",$102.16,"$157,000.00",$94.35,"1,664",$94.35,10/8/2010,12/30/2010
"1,682",2006,2,2,1,Attached,"$159,900.00",$95.07,"$157,000.00",$93.34,"1,682",$93.34,2/18/2013,4/5/2013
"1,308",2011,3,3,1,Attached,"$182,000.00",$139.14,"$157,000.00",$120.03,"1,090",$120.03,10/25/2013,1/20/2014
"1,517",2012,3,2,1,Attached,"$156,585.00",$103.22,"$157,000.00",$103.49,"1,517",$103.49,7/17/2012,6/3/2013
"1,750",1994,3,2,1,Detached,"$155,000.00",$88.57,"$157,000.00",$89.71,"1,750",$89.71,1/24/2008,2/22/2008
"1,713",2010,3,3,1,Attached,"$159,845.00",$93.31,"$157,150.00",$91.74,"1,713",$91.74,10/20/2010,11/30/2010
"1,646",2012,3,3,1,Attached,"$157,480.00",$95.67,"$157,480.00",$95.67,"1,646",$95.67,8/25/2012,12/28/2012
"1,588",2006,3,2,1,Attached,"$160,000.00",$100.76,"$157,500.00",$99.18,"1,588",$99.18,2/1/2011,3/17/2011
"1,517",2011,2,2,1,Attached,"$157,000.00",$103.49,"$157,500.00",$103.82,"1,517",$103.82,2/7/2011,8/11/2011
"1,734",2008,3,3,1,Attached,"$162,280.00",$93.59,"$157,500.00",$90.83,"1,734",$90.83,9/19/2008,4/22/2009
"1,430",1997,3,2,1,Detached,"$161,000.00",$112.59,"$157,500.00",$110.14,"1,430",$110.14,9/29/2004,12/17/2004
"1,625",2007,2,2,1,Attached,"$180,000.00",$110.77,"$157,700.00",$97.05,"1,625",$97.05,10/17/2007,12/21/2007
"1,378",2007,2,2,1,Attached,"$157,990.00",$114.65,"$157,990.00",$114.65,"1,378",$114.65,8/9/2007,9/24/2007
"1,400",2005,2,2,1,Condo,"$165,000.00",$117.86,"$158,000.00",$112.86,"1,400",$112.86,11/4/2016,12/28/2016
"1,734",2009,3,3,1,Attached,"$162,900.00",$93.94,"$158,000.00",$91.12,"1,734",$91.12,3/30/2009,4/28/2009
"1,382",1999,2,2,1,Attached,"$159,900.00",$115.70,"$158,000.00",$114.33,"1,382",$114.33,6/6/2014,6/25/2014
"1,436",2007,2,2,1,Attached,"$158,000.00",$110.03,"$158,000.00",$110.03,"1,436",$110.03,2/2/2013,3/28/2013
"1,713",2011,3,3,1,Attached,"$159,095.00",$92.88,"$158,000.00",$92.24,"1,713",$92.24,9/11/2011,11/15/2011
"1,780",2011,3,3,1,Attached,"$160,965.00",$90.43,"$158,000.00",$88.76,"1,780",$88.76,8/9/2011,1/10/2012
"1,400",1999,2,2,1,Attached,"$164,900.00",$117.79,"$158,000.00",$112.86,"1,400",$112.86,12/10/2006,2/27/2007
"1,380",1997,3,2,1,Attached,"$159,900.00",$115.87,"$158,000.00",$114.49,"1,380",$114.49,8/2/2003,6/2/2004
"1,378",2008,2,2,1,Attached,"$156,900.00",$113.86,"$158,000.00",$114.66,"1,378",$114.66,12/8/2008,7/2/2009
"1,575",1995,3,2,1,Detached,"$159,900.00",$101.52,"$158,000.00",$100.32,"1,575",$100.32,6/24/2003,11/14/2003
"1,713",2010,3,3,1,Attached,"$163,210.00",$95.28,"$158,150.00",$92.32,"1,713",$92.32,3/31/2010,9/27/2010
"1,550",2007,2,2,1,Attached,"$168,500.00",$108.71,"$158,500.00",$102.26,"1,550",$102.26,4/18/2013,8/12/2013
"1,800",2009,3,3,1,Attached,"$158,820.00",$88.23,"$158,960.00",$88.31,"1,800",$88.31,7/25/2009,10/21/2009
816,2008,1,1,1,Condo,"$159,000.00",$194.85,"$159,000.00",$194.85,816,$194.85,12/9/2019,1/16/2020
"1,400",2005,2,2,1,Condo,"$159,900.00",$114.21,"$159,000.00",$113.57,"1,400",$113.57,10/14/2007,3/17/2008
"1,221",2010,1,1,1,Condo,"$169,900.00",$139.15,"$159,000.00",$130.22,"1,221",$130.22,7/16/2012,10/31/2012
"1,528",2006,2,2,1,Attached,"$165,000.00",$107.98,"$159,000.00",$104.06,"1,528",$104.06,5/23/2013,9/17/2013
"1,789",2007,3,3,1,Attached,"$163,400.00",$91.34,"$159,000.00",$88.88,"1,789",$88.88,8/31/2009,10/23/2009
"1,440",2007,2,2,1,Attached,"$160,500.00",$111.46,"$159,000.00",$110.42,"1,440",$110.42,1/23/2014,6/27/2014
"1,552",1998,3,2,1,Detached,"$161,900.00",$104.32,"$159,000.00",$102.45,"1,552",$102.45,3/25/2004,6/2/2004
"1,675",1995,3,2,1,Detached,"$162,900.00",$97.25,"$159,475.00",$95.21,"1,675",$95.21,4/27/2003,6/18/2003
"1,390",1997,3,2,1,Detached,"$159,500.00",$114.75,"$159,500.00",$114.75,"1,390",$114.75,6/15/2004,8/30/2004
